year,name,percent,sex
1961,Mary,0.022958,girl
1961,Lisa,0.020569,girl
1961,Susan,0.018075,girl
1961,Linda,0.017129,girl
1961,Karen,0.01671,girl
1961,Patricia,0.013899,girl
1961,Donna,0.013814,girl
1961,Cynthia,0.011741,girl
1961,Sandra,0.011625,girl
1961,Deborah,0.011607,girl
1961,Brenda,0.01145,girl
1961,Barbara,0.011067,girl
1961,Debra,0.010669,girl
1961,Lori,0.010535,girl
1961,Pamela,0.010446,girl
1961,Nancy,0.009976,girl
1961,Sharon,0.009845,girl
1961,Teresa,0.009106,girl
1961,Elizabeth,0.009081,girl
1961,Cheryl,0.008814,girl
1961,Laura,0.00862,girl
1961,Kimberly,0.008358,girl
1961,Julie,0.008212,girl
1961,Carol,0.008027,girl
1961,Kathy,0.007892,girl
1961,Diane,0.007804,girl
1961,Robin,0.007535,girl
1961,Tammy,0.007481,girl
1961,Kathleen,0.007411,girl
1961,Denise,0.007408,girl
1961,Debbie,0.007165,girl
1961,Janet,0.006708,girl
1961,Cindy,0.006447,girl
1961,Michelle,0.006132,girl
1961,Theresa,0.005765,girl
1961,Kim,0.005477,girl
1961,Jacqueline,0.005292,girl
1961,Angela,0.005218,girl
1961,Christine,0.005097,girl
1961,Margaret,0.005081,girl
1961,Tina,0.005068,girl
1961,Carolyn,0.005054,girl
1961,Laurie,0.005026,girl
1961,Rebecca,0.004932,girl
1961,Kelly,0.004641,girl
1961,Rhonda,0.004562,girl
1961,Jennifer,0.004463,girl
1961,Catherine,0.004454,girl
1961,Dawn,0.004406,girl
1961,Connie,0.00433,girl
1961,Terri,0.004205,girl
1961,Janice,0.004201,girl
1961,Sherry,0.004025,girl
1961,Ann,0.003959,girl
1961,Cathy,0.003947,girl
1961,Diana,0.003941,girl
1961,Judy,0.003812,girl
1961,Maria,0.003811,girl
1961,Sheila,0.003752,girl
1961,Paula,0.00373,girl
1961,Wendy,0.003445,girl
1961,Joyce,0.003374,girl
1961,Michele,0.003366,girl
1961,Tracy,0.003364,girl
1961,Beth,0.003235,girl
1961,Beverly,0.00323,girl
1961,Valerie,0.003215,girl
1961,Amy,0.003186,girl
1961,Suzanne,0.003181,girl
1961,Wanda,0.00311,girl
1961,Lynn,0.003105,girl
1961,Jane,0.003066,girl
1961,Annette,0.002983,girl
1961,Jill,0.002954,girl
1961,Bonnie,0.002902,girl
1961,Vicki,0.002874,girl
1961,Carla,0.002803,girl
1961,Stephanie,0.002801,girl
1961,Renee,0.002784,girl
1961,Darlene,0.002759,girl
1961,Martha,0.002755,girl
1961,Judith,0.00274,girl
1961,Gloria,0.002739,girl
1961,Leslie,0.00273,girl
1961,Katherine,0.002714,girl
1961,Shirley,0.002712,girl
1961,Betty,0.002685,girl
1961,Peggy,0.002683,girl
1961,Joan,0.002673,girl
1961,Anne,0.002657,girl
1961,Anita,0.00265,girl
1961,Jean,0.002585,girl
1961,Kathryn,0.002515,girl
1961,Gail,0.002395,girl
1961,Melissa,0.002361,girl
1961,Ruth,0.002356,girl
1961,Ellen,0.002334,girl
1961,Regina,0.002292,girl
1961,Dorothy,0.00228,girl
1961,Anna,0.002245,girl
1961,Penny,0.002235,girl
1961,Joanne,0.002222,girl
1961,Virginia,0.002205,girl
1961,Maureen,0.0022,girl
1961,Rita,0.002181,girl
1961,Colleen,0.002175,girl
1961,Vickie,0.00212,girl
1961,Terry,0.0021,girl
1961,Marie,0.002093,girl
1961,Andrea,0.00208,girl
1961,Rose,0.002078,girl
1961,Jackie,0.002046,girl
1961,Sarah,0.002024,girl
1961,Victoria,0.002,girl
1961,Becky,0.001972,girl
1961,Julia,0.00188,girl
1961,Gina,0.001865,girl
1961,Elaine,0.001863,girl
1961,Helen,0.001857,girl
1961,Phyllis,0.001849,girl
1961,Sherri,0.001834,girl
1961,Marilyn,0.001828,girl
1961,Melanie,0.001807,girl
1961,Sylvia,0.001805,girl
1961,Tamara,0.001796,girl
1961,Alice,0.001727,girl
1961,Dana,0.001709,girl
1961,Yvonne,0.001709,girl
1961,Melinda,0.001688,girl
1961,Sue,0.001687,girl
1961,Eileen,0.001681,girl
1961,Christina,0.001672,girl
1961,Sally,0.001669,girl
1961,Sandy,0.001648,girl
1961,Frances,0.001646,girl
1961,Monica,0.001632,girl
1961,Joann,0.001611,girl
1961,Jeanne,0.001603,girl
1961,Carrie,0.001532,girl
1961,Shari,0.001503,girl
1961,Sheryl,0.001502,girl
1961,Belinda,0.0015,girl
1961,Lorraine,0.001498,girl
1961,Pam,0.001485,girl
1961,Shelly,0.001443,girl
1961,Evelyn,0.001416,girl
1961,Charlotte,0.001413,girl
1961,Loretta,0.001409,girl
1961,Toni,0.001395,girl
1961,Charlene,0.001362,girl
1961,Tracey,0.001353,girl
1961,Jo,0.001347,girl
1961,Vanessa,0.001328,girl
1961,Veronica,0.001315,girl
1961,Deanna,0.001293,girl
1961,Marcia,0.001293,girl
1961,Patty,0.001276,girl
1961,Joy,0.001257,girl
1961,Glenda,0.001251,girl
1961,Holly,0.00124,girl
1961,Doris,0.001236,girl
1961,Roberta,0.001232,girl
1961,Jeanette,0.001231,girl
1961,Norma,0.001227,girl
1961,Gwendolyn,0.00122,girl
1961,Heidi,0.001213,girl
1961,Yolanda,0.001209,girl
1961,Sheri,0.001198,girl
1961,Lynne,0.001154,girl
1961,Carmen,0.001153,girl
1961,Jamie,0.001127,girl
1961,Melody,0.001095,girl
1961,Teri,0.001081,girl
1961,Tami,0.001072,girl
1961,Vicky,0.001064,girl
1961,Sara,0.00106,girl
1961,Caroline,0.001057,girl
1961,Dianne,0.001045,girl
1961,Marsha,0.001043,girl
1961,Shelley,0.001031,girl
1961,Rosemary,0.001026,girl
1961,Crystal,0.001019,girl
1961,Lois,0.001012,girl
1961,Audrey,0.000992,girl
1961,Patti,0.000991,girl
1961,Rachel,0.00099,girl
1961,Lynda,0.00098,girl
1961,Jan,0.000978,girl
1961,Shelia,0.000965,girl
1961,Juanita,0.000957,girl
1961,Tammie,0.000953,girl
1961,Kay,0.000943,girl
1961,Irene,0.00092,girl
1961,Vivian,0.00091,girl
1961,Karla,0.000901,girl
1961,Jodi,0.000891,girl
1961,Doreen,0.00089,girl
1961,Yvette,0.00089,girl
1961,Tonya,0.000886,girl
1961,Jody,0.000883,girl
1961,April,0.000871,girl
1961,Roxanne,0.000831,girl
1961,Darla,0.000826,girl
1961,Constance,0.000821,girl
1961,Carole,0.000809,girl
1961,Stacy,0.000809,girl
1961,Alicia,0.000803,girl
1961,Marianne,0.000793,girl
1961,Rosa,0.000792,girl
1961,Tanya,0.000792,girl
1961,Marlene,0.000788,girl
1961,Ramona,0.000785,girl
1961,Natalie,0.000783,girl
1961,Lydia,0.000758,girl
1961,Chris,0.000755,girl
1961,Arlene,0.000747,girl
1961,Sonya,0.000742,girl
1961,Louise,0.000741,girl
1961,Robyn,0.00074,girl
1961,Eva,0.000735,girl
1961,Dianna,0.000733,girl
1961,Lee,0.000719,girl
1961,Ronda,0.000716,girl
1961,June,0.000709,girl
1961,Felicia,0.000703,girl
1961,Jana,0.000702,girl
1961,Stacey,0.000701,girl
1961,Cassandra,0.000698,girl
1961,Gayle,0.000697,girl
1961,Grace,0.000695,girl
1961,Alison,0.000678,girl
1961,Jacquelyn,0.000672,girl
1961,Debora,0.000666,girl
1961,Sherrie,0.000659,girl
1961,Dolores,0.000644,girl
1961,Lora,0.00064,girl
1961,Cheri,0.000635,girl
1961,Esther,0.000632,girl
1961,Lillian,0.000632,girl
1961,Marjorie,0.000632,girl
1961,Annie,0.000626,girl
1961,Janine,0.000619,girl
1961,Geraldine,0.000618,girl
1961,Maryann,0.000617,girl
1961,Ruby,0.000614,girl
1961,Lynette,0.000611,girl
1961,Joni,0.000609,girl
1961,Lauren,0.000607,girl
1961,Jenny,0.000602,girl
1961,Kelley,0.000602,girl
1961,Nina,0.000597,girl
1961,Shannon,0.000595,girl
1961,Lorie,0.000587,girl
1961,Kimberley,0.000584,girl
1961,Bridget,0.000582,girl
1961,Bernadette,0.000582,girl
1961,Kristi,0.000579,girl
1961,Josephine,0.000579,girl
